0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:17 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:17 +0700] "GET /WebCosmeticShop/ShowOrderListServlet HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:17 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:17 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:17 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:18 +0700] "GET /WebCosmeticShop/ShowCustomerListServlet HTTP/1.1" 200 18911
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:18 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:18 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:18 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:18 +0700] "GET /WebCosmeticShop/ShowProductListServlet HTTP/1.1" 200 16729
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:18 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:18 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:18 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:20 +0700] "GET /WebCosmeticShop/ShowCategoryListServlet HTTP/1.1" 200 15240
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:20 +0700] "GET /WebCosmeticShop/sweetalert2.min.css HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:20 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:20 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:20 +0700] "GET /WebCosmeticShop/sweetalert2.all.min.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:20 +0700] "GET /WebCosmeticShop/sweetalert2.min.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:20 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:21 +0700] "GET /WebCosmeticShop/ShowCategoryGroupServlet HTTP/1.1" 200 21056
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:21 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:21 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:21 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:22 +0700] "GET /WebCosmeticShop/ShowDashBoardServlet HTTP/1.1" 200 33954
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:22 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:22 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:18:02:22 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
